beta,gamma
0.33195182,0.09985042
0.55501532,0.13547516
0.44201249,0.09904227
0.43615837,0.09994714
0.31305470,0.09607699
0.40245274,0.10269100
0.32273543,0.08071861
0.44348261,0.10913464
0.36597606,0.11026768
0.48260722,0.16079289
0.44582572,0.15564026
0.48414913,0.14433502
0.39053227,0.08238839
0.44798497,0.11115064
0.30421770,0.07237680
0.45592480,0.09580949
0.44224884,0.11476179
0.50091714,0.11131668
0.46960365,0.12142614
0.48570280,0.15623489
0.44723290,0.14534881
0.39827180,0.13306062
0.42732264,0.10498981
0.49657844,0.12685521
0.41373360,0.12234739
0.54439313,0.14341974
0.40563023,0.11772555
0.35581019,0.11601155
0.36466131,0.08288779
0.41572006,0.09858781
0.50102987,0.14942121
0.43889242,0.16249455
0.45419624,0.13842406
0.64828418,0.16756373
0.41701604,0.10785520
0.38221958,0.10582333
0.33616870,0.10803309
0.46522193,0.12886344
0.53737199,0.12849323
0.32980748,0.09157500
0.45264085,0.09843705
0.39262855,0.08544603
0.46462192,0.11784226
0.50457162,0.13375723
0.41793696,0.11536004
0.32885986,0.08029421
0.33341828,0.08071106
0.40906959,0.09143381
0.47713591,0.13990633
0.45462581,0.08763308
0.33584082,0.09962155
0.35082585,0.08065851
0.55354034,0.13261124
0.42506440,0.11149840
0.46522010,0.10325214
0.40747058,0.09616662
0.35758429,0.09529032
0.43287196,0.10464307
0.39215482,0.10756392
0.33444088,0.09659945
0.43167256,0.10927123
0.45365165,0.10614207
0.35834317,0.09096765
0.35343528,0.11529086
0.60120603,0.15600092
0.42644260,0.12709402
0.41570816,0.14385936
0.34613114,0.08996252
0.41392781,0.08556655
0.32113812,0.09085283
0.40973991,0.13748343
0.43525849,0.13583720
0.41032496,0.09109640
0.45624023,0.10192693
0.43034903,0.09445785
0.36054916,0.09963748
0.51215271,0.12217580
0.44480774,0.13148652
0.33385136,0.08463102
0.41396810,0.10900911
0.38710151,0.07519815
0.32678399,0.10668175
0.55912571,0.14589472
0.50799425,0.14475280
0.42376971,0.12359391
0.35985231,0.07356680
0.44572891,0.11282989
0.37902871,0.11996682
0.46299981,0.13273504
0.34508697,0.09837600
0.57192860,0.15699665
0.54358122,0.14713467
0.50320115,0.13604100
0.45335873,0.11858281
0.46286815,0.13100316
0.43313866,0.11429102
0.39593138,0.09450617
0.30909233,0.07738715
0.35643059,0.08776146
0.44354910,0.10627704
0.43532085,0.10347813
0.45777042,0.10120612
0.32445065,0.09390205
0.49385228,0.11996735
0.48469669,0.12849314
0.36681847,0.11141599
0.39290431,0.11967940
0.40843737,0.12623857
0.50236164,0.14111209
0.53746561,0.14860191
0.34428828,0.08872823
0.48780715,0.13747473
0.40977456,0.13047247
0.45709156,0.14486911
0.50880082,0.13290445
0.34645793,0.07083779
0.43356803,0.12199353
0.44298729,0.10339188
0.41588487,0.10815135
0.50039880,0.13550777
0.33665919,0.07930471
0.44473568,0.13301667
0.43562411,0.12518150
0.34069113,0.07105539
0.32015742,0.07976221
0.40308858,0.11381594
0.43448686,0.12039872
0.42760657,0.11238193
0.38116891,0.08915551
0.33447349,0.09020151
0.42989036,0.11608380
0.44489763,0.14355017
0.42260874,0.13018645
0.37319417,0.11925155
0.30885017,0.10101629
0.37153007,0.09078274
0.51367016,0.15858349
0.40424639,0.09055896
0.40513498,0.09924575
0.32793314,0.10775907
0.35182048,0.12955919
0.37001444,0.11211997
0.46938220,0.10891804
0.35377843,0.10864783
0.29590929,0.07840139
0.40919666,0.12679131
0.55657666,0.16545800
0.53311638,0.16110574
0.53964104,0.15122786
0.49999893,0.15947660
0.36699230,0.11926523
0.30921545,0.08230400
0.37898025,0.09315363
0.49580919,0.14900460
0.34839614,0.06704414
